Amount,AmountIncludingVAT,Description,DocumentNo,BilltoCustomerNo,Quantity,PostingDate,LocationCode,GSTAssessableValueLCY,InvDiscountAmount,ItemCategoryCode,no,billToName,billToCity,state
2661120.0,2661120.0,SOLAR PANEL 540 WP MONO HALF CUT DCR,SINV25-04487,C000106,224.0,2026-02-16,FG,0,0,FG-SOLAR PANEL WB,SINV25-04487,OSWAL PUMPS LIMITED,KUTAIL,HR
0.0,0.0,Shipment No. DS25-04037:,SINV25-04488,,0.0,2026-02-16,FG,0,0,,SINV25-04488,BUNDELKHAND SALES & SERVICE LLP,JHANSI,UP
1145760.0,1145760.0,SOLAR PANEL 550 WP MONO HALF CUT NON DCR BIFACIAL GLASS TO BACK SHEET,SINV25-04488,C000035,168.0,2026-02-16,FG,0,0,FG-SOLAR PANEL TB,SINV25-04488,BUNDELKHAND SALES & SERVICE LLP,JHANSI,UP
1339800.0,1339800.0,SOLAR PANEL 550 WP MONO HALF CUT DCR BIFACIAL GLASS TO BACK SHEET,SINV25-04488,C000035,112.0,2026-02-16,FG,0,0,FG-SOLAR PANEL TB,SINV25-04488,BUNDELKHAND SALES & SERVICE LLP,JHANSI,UP
0.0,0.0,Shipment No. DS25-04038:,SINV25-04489,,0.0,2026-02-16,FG,0,0,,SINV25-04489,LALA MELI RAM AND SONS,NARWANA,HR
654500.0,654500.0,SOLAR PANEL 550 WP MONO HALF CUT DCR BIFACIAL GLASS TO BACK SHEET,SINV25-04489,C000087,56.0,2026-02-16,FG,0,0,FG-SOLAR PANEL TB,SINV25-04489,LALA MELI RAM AND SONS,NARWANA,HR
0.0,0.0,Shipment No. DS25-04031:,SINV25-04490,,0.0,2026-02-16,,0,0,,SINV25-04490,OSWAL PUMPS LIMITED,KUTAIL,HR
2661120.0,2661120.0,SOLAR PANEL 540 WP MONO HALF CUT DCR,SINV25-04490,C000106,224.0,2026-02-16,FG,0,0,FG-SOLAR PANEL WB,SINV25-04490,OSWAL PUMPS LIMITED,KUTAIL,HR
0.0,0.0,Shipment No. DS25-04032:,SINV25-04491,,0.0,2026-02-16,,0,0,,SINV25-04491,OSWAL PUMPS LIMITED,KUTAIL,HR
2661120.0,2661120.0,SOLAR PANEL 540 WP MONO HALF CUT DCR,SINV25-04491,C000106,224.0,2026-02-16,FG,0,0,FG-SOLAR PANEL WB,SINV25-04491,OSWAL PUMPS LIMITED,KUTAIL,HR
0.0,0.0,Shipment No. DS25-04033:,SINV25-04492,,0.0,2026-02-16,,0,0,,SINV25-04492,OSWAL PUMPS LIMITED,KUTAIL,HR
2661120.0,2661120.0,SOLAR PANEL 540 WP MONO HALF CUT DCR,SINV25-04492,C000106,224.0,2026-02-16,FG,0,0,FG-SOLAR PANEL WB,SINV25-04492,OSWAL PUMPS LIMITED,KUTAIL,HR
0.0,0.0,Shipment No. DS25-04034:,SINV25-04493,,0.0,2026-02-16,,0,0,,SINV25-04493,OSWAL PUMPS LIMITED,KUTAIL,HR
2661120.0,2661120.0,SOLAR PANEL 540 WP MONO HALF CUT DCR,SINV25-04493,C000106,224.0,2026-02-16,FG,0,0,FG-SOLAR PANEL WB,SINV25-04493,OSWAL PUMPS LIMITED,KUTAIL,HR
0.0,0.0,Shipment No. DS25-04035:,SINV25-04494,,0.0,2026-02-16,,0,0,,SINV25-04494,OSWAL PUMPS LIMITED,KUTAIL,HR
2661120.0,2661120.0,SOLAR PANEL 540 WP MONO HALF CUT DCR,SINV25-04494,C000106,224.0,2026-02-16,FG,0,0,FG-SOLAR PANEL WB,SINV25-04494,OSWAL PUMPS LIMITED,KUTAIL,HR
1322400.0,1322400.0,SOLAR GLASS 2272MM X 1128MM X3.2MM,SINV25-04495,C000004,1200.0,2026-02-16,MAIN STORE,0,0,RM-GLASS,SINV25-04495,ADM SOLAR POWER & INFRASTRUCTURE PVT LTD,FARIDABAD,HR
0.0,0.0,Shipment No. DS25-04036:,SINV25-04496,,0.0,2026-02-16,,0,0,,SINV25-04496,OSWAL PUMPS LIMITED,KUTAIL,HR
2661120.0,2661120.0,SOLAR PANEL 540 WP MONO HALF CUT DCR,SINV25-04496,C000106,224.0,2026-02-16,FG,0,0,FG-SOLAR PANEL WB,SINV25-04496,OSWAL PUMPS LIMITED,KUTAIL,HR
1322400.0,1322400.0,SOLAR GLASS 2272MM X 1128MM X3.2MM,SINV25-04497,C000004,1200.0,2026-02-16,MAIN STORE,0,0,RM-GLASS,SINV25-04497,ADM SOLAR POWER & INFRASTRUCTURE PVT LTD,FARIDABAD,HR
0.0,0.0,Shipment No. DS25-04040:,SINV25-04498,,0.0,2026-02-16,,0,0,,SINV25-04498,ARC RENEWABLES PVT LTD,GURGAON,HR
1226225.0,1226225.0,SOLAR PANEL 550 WP MONO HALF CUT NON DCR,SINV25-04498,C000542,182.0,2026-02-16,FG,0,0,FG-SOLAR PANEL WB,SINV25-04498,ARC RENEWABLES PVT LTD,GURGAON,HR
0.0,0.0,Shipment No. DS25-04042:,SINV25-04499,,0.0,2026-02-16,,0,0,,SINV25-04499,R.M. SOLAR POWER,HOSIARPUR,PB
1832600.0,1832600.0,SOLAR PANEL 550 WP MONO HALF CUT NON DCR BIFACIAL GLASS TO BACK SHEET,SINV25-04499,C000561,280.0,2026-02-16,WH-KUTAIL,0,0,FG-SOLAR PANEL TB,SINV25-04499,R.M. SOLAR POWER,HOSIARPUR,PB
1322400.0,1322400.0,SOLAR GLASS 2272MM X 1128MM X3.2MM,SINV25-04500,C000004,1200.0,2026-02-16,MAIN STORE,0,0,RM-GLASS,SINV25-04500,ADM SOLAR POWER & INFRASTRUCTURE PVT LTD,FARIDABAD,HR
