no,billToName,billToCity,state
SINV25-00138,S. B. B. TRADING COMPANY,GONDA,UP
SINV25-00139,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00140,TANYA ENTERPRISES,DELHI,DL
SINV25-00141,ABHISHEK TRADERS,GANAUR,HR
SINV25-00142,GENUS INNOVATION LIMITED,BAHADRABAD,UK
SINV25-00143,ECOSOLAR POWER MARKETING PRIVATE LIMITED,SARDULGARH,PB
SINV25-00144,ECOSOLAR POWER MARKETING PRIVATE LIMITED,SARDULGARH,PB
SINV25-00145,SHIVAM ELECTRONICS,HANSI,HR
SINV25-00146,ANIL ENTERPRISES,SAMPLA,HR
SINV25-00147,MAHINDRA POWER SOLUTION,REENGUS,RJ
SINV25-00148,GLOBAL ENTERPRISES,BHATINDA,PB
SINV25-00149,SUN POWER SOLAR & ELECTRONICS,BHATINDA,PB
SINV25-00150,RANDHWA SOLAR & ELECTRIC SOLUTION,BATHINDA,PB
SINV25-00151,HR IGNITE INNOVATIVE INDIA PRIVATE LIMITED,AGARTHALA,TR
SINV25-00152,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00153,GENUS INNOVATION LIMITED,BAHADRABAD,UK
SINV25-00154,CHANDIGARH ENERGY PVT LTD,CHANDIGARH,CH
SINV25-00155,GANESH PIPE STORE,MANDI DABWALI,HR
SINV25-00156,RAJDEEP ECO CARE,LADWA,HR
SINV25-00157,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00158,SIDHU COMPUTER CARE,MALOUT,PB
SINV25-00159,D S ENTERPRISES,AMRITSAR,PB
SINV25-00160,EROOKA PRIVATE LIMITED,SUNAM,PB
SINV25-00161,UNIK AND HPR SOLAR,SHRI GANGANAGAR,RJ
SINV25-00162,RAJDEEP ECO CARE,LADWA,HR
SINV25-00163,SK SOLAR,JAIPUR,RJ
SINV25-00164,SIDHU COMPUTER CARE,MALOUT,PB
SINV25-00165,SHIVAM ELECTRONICS,HANSI,HR
SINV25-00166,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00167,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00168,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00169,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00170,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00171,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00172,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00173,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00174,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00175,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00176,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00177,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00178,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00179,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00180,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00181,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00182,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00183,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00184,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00185,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00186,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00187,OSWAL PUMPS LIMITED (SOLAR PV),KUTAIL,HR
SINV25-00188,SMARTEN POWER SYSTEMS LIMITED,GURGAON,HR
